Make,Type,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Car_Age
Kia,Cadenza,Saudi,Silver,Standard,3.3,Gas,Automatic,83000,Riyadh,50000,8
Hyundai,Azera,Saudi,Brown,Semi Full,3.5,Gas,Automatic,79000,Riyadh,75000,7
Genesis,G80,Saudi,White,Semi Full,3.8,Gas,Automatic,97000,Riyadh,98000,7
Kia,Cadenza,Saudi,White,Standard,3.3,Gas,Automatic,122000,Riyadh,50000,9
Hyundai,Azera,Saudi,White,Full,3.0,Gas,Automatic,168000,Riyadh,55000,8
Nissan,Maxima,Saudi,Brown,Semi Full,1.0,Gas,Automatic,121000,Riyadh,64000,8
Toyota,Land Cruiser,Saudi,White,Full,1.0,Gas,Automatic,300000,Riyadh,135000,10
Chevrolet,Caprice,Saudi,Black,Standard,6.0,Gas,Automatic,264000,Riyadh,69000,10
Dodge,Challenger,Other,White,Full,3.6,Gas,Automatic,113000,Dammam,99000,8
Honda,Accord,Gulf Arabic,Golden,Full,2.4,Gas,Automatic,75000,Dammam,92000,7
Lexus,ES,Other,Bronze,Semi Full,3.5,Gas,Automatic,88000,Dammam,115000,9
Nissan,Datsun,Saudi,White,Semi Full,2.0,Gas,Manual,182000,Dammam,29000,10
Chevrolet,Camaro,Other,Red,Full,3.6,Gas,Automatic,94000,Dammam,106000,9
Genesis,G80,Saudi,Grey,Semi Full,3.8,Gas,Automatic,11000,Riyadh,125000,5
Ford,Taurus,Other,Black,Full,3.5,Gas,Automatic,100000,Dammam,89000,7
Ford,Taurus,Other,Black,Semi Full,3.5,Gas,Automatic,103000,Dammam,78000,10
Hyundai,Tucson,Saudi,White,Semi Full,1.0,Gas,Automatic,67000,Riyadh,75000,6
Kia,Cadenza,Saudi,Silver,Standard,3.3,Gas,Automatic,94000,Riyadh,55000,7
Hyundai,Elantra,Saudi,Grey,Standard,2.0,Gas,Automatic,95000,Riyadh,52000,6
Hyundai,Accent,Saudi,Grey,Semi Full,1.4,Gas,Automatic,147000,Riyadh,29000,8
GMC,Yukon,Saudi,Bronze,Full,6.2,Gas,Automatic,152000,Riyadh,122000,9
Nissan,Sunny,Saudi,Grey,Standard,1.5,Gas,Automatic,152973,Riyadh,24500,8
Renault,Symbol,Saudi,White,Standard,1.6,Gas,Automatic,46505,Riyadh,26000,5
Renault,Fluence,Saudi,Grey,Semi Full,1.6,Gas,Automatic,116633,Riyadh,25500,10
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,90418,Riyadh,25500,7
Mazda,6,Saudi,Brown,Standard,2.5,Gas,Automatic,129000,Riyadh,65000,6
Hyundai,Elantra,Saudi,Grey,Full,2.0,Gas,Automatic,119000,Riyadh,33000,11
Honda,Accord,Saudi,White,Semi Full,2.5,Gas,Automatic,173000,Riyadh,68000,8
MG,RX5,Saudi,White,Full,3.0,Gas,Automatic,109000,Riyadh,49000,7
Ford,Taurus,Saudi,Another Color,Standard,3.5,Gas,Automatic,136000,Riyadh,58000,9
Genesis,G80,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,97000,Riyadh,98000,7
Toyota,FJ,Saudi,White,Full,4.0,Gas,Automatic,259880,Riyadh,89000,10
Kia,Cadenza,Saudi,Brown,Standard,3.3,Gas,Automatic,73000,Riyadh,65000,6
Hyundai,Kona,Saudi,Grey,Full,1.0,Gas,Automatic,22000,Riyadh,77000,6
Toyota,Avalon,Other,White,Semi Full,3.5,Gas,Automatic,123000,Riyadh,93000,9
Dodge,Charger,Saudi,Red,Standard,3.6,Gas,Automatic,79000,Riyadh,79000,7
Hyundai,Santa fe,Saudi,Brown,Semi Full,3.3,Gas,Automatic,126000,Riyadh,63000,9
Toyota,FJ,Saudi,Bronze,Semi Full,1.0,Gas,Automatic,154000,Riyadh,77000,12
Chrysler,C300,Saudi,Grey,Full,5.7,Gas,Automatic,130000,Riyadh,88000,8
Kia,Optima,Saudi,Grey,Standard,2.4,Gas,Automatic,40000,Riyadh,55000,7
Hyundai,Azera,Saudi,White,Semi Full,3.0,Gas,Automatic,130000,Riyadh,50000,9
Suzuki,APV,Saudi,Black,Standard,1.5,Gas,Manual,110000,Riyadh,29500,9
Honda,Accord,Saudi,Brown,Full,1.0,Gas,Automatic,116000,Riyadh,62000,9
Peugeot,3008,Saudi,Brown,Full,1.0,Gas,Automatic,30000,Riyadh,79000,7
Kia,Cadenza,Saudi,White,Standard,3.3,Gas,Automatic,145000,Riyadh,63000,9
Kia,Cerato,Saudi,White,Standard,1.6,Gas,Automatic,43629,Jeddah,43500,6
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,106036,Riyadh,25900,7
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,104688,Riyadh,26000,6
Nissan,Sunny,Saudi,Grey,Standard,1.5,Gas,Automatic,86754,Riyadh,26000,6
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,105509,Riyadh,26000,6
Chevrolet,Traverse,Saudi,Silver,Semi Full,2.4,Gas,Automatic,110000,Riyadh,49000,8
Honda,Accord,Saudi,White,Standard,1.0,Gas,Automatic,63000,Riyadh,88000,8
Genesis,G80,Saudi,Grey,Semi Full,3.8,Gas,Automatic,183000,Riyadh,85000,8
Honda,Accord,Saudi,White,Standard,1.0,Gas,Automatic,251000,Riyadh,38000,13
Hyundai,Sonata,Saudi,Red,Standard,2.5,Gas,Automatic,63000,Riyadh,58000,7
Kia,Optima,Saudi,Black,Semi Full,2.4,Gas,Automatic,91000,Riyadh,45000,9
Hyundai,Sonata,Saudi,Brown,Standard,1.0,Gas,Automatic,130000,Riyadh,50000,7
GMC,Sierra,Other,Silver,Semi Full,6.0,Gas,Automatic,258000,Riyadh,50000,14
Honda,Accord,Saudi,Grey,Semi Full,1.0,Gas,Automatic,126000,Riyadh,75000,8
Mercedes,S,Saudi,Black,Full,3.5,Gas,Automatic,243000,Riyadh,45000,18
Ford,F150,Saudi,Black,Standard,3.0,Gas,Automatic,352000,Riyadh,38000,13
Nissan,Maxima,Saudi,White,Full,1.0,Gas,Automatic,135000,Riyadh,73000,8
Toyota,Land Cruiser,Saudi,White,Full,4.0,Gas,Automatic,210600,Riyadh,120000,11
Hyundai,Sonata,Saudi,Brown,Full,2.0,Gas,Automatic,104000,Riyadh,58000,9
Ford,Explorer,Gulf Arabic,Silver,Semi Full,3.5,Gas,Automatic,112000,Riyadh,83000,9
Hyundai,Genesis,Other,Blue,Standard,3.8,Gas,Automatic,128000,Riyadh,83000,8
Toyota,Corolla,Saudi,White,Semi Full,1.6,Gas,Automatic,370000,Riyadh,30000,10
Honda,Accord,Saudi,Navy,Semi Full,2.4,Gas,Automatic,223000,Riyadh,75000,8
Kia,Cerato,Saudi,White,Standard,1.6,Gas,Automatic,72000,Riyadh,37500,8
Ford,Taurus,Saudi,White,Standard,2.0,Gas,Automatic,71000,Riyadh,77000,7
Lexus,NX,Gulf Arabic,Black,Full,2.0,Gas,Automatic,63000,Dammam,174000,8
Hyundai,Elantra,Saudi,White,Semi Full,1.6,Gas,Automatic,59700,Dammam,54500,6
Hyundai,Santa fe,Saudi,Grey,Standard,2.4,Gas,Automatic,93000,Riyadh,82000,5
Mercedes,C,Saudi,Silver,Semi Full,2.0,Gas,Automatic,73000,Riyadh,90000,10
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,96341,Riyadh,26000,6
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,87775,Riyadh,26000,6
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,89136,Riyadh,26000,6
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,71913,Riyadh,26500,6
MG,RX5,Saudi,White,Full,1.5,Gas,Automatic,39000,Jeddah,56000,6
Genesis,G70,Saudi,Grey,Semi Full,2.0,Gas,Automatic,11000,Riyadh,109000,6
Ford,Flex,Saudi,Silver,Semi Full,3.5,Gas,Automatic,277000,Dammam,30000,13
GMC,Yukon,Saudi,White,Full,5.3,Gas,Automatic,200000,Dammam,150000,10
GMC,Yukon,Other,White,Full,6.2,Gas,Automatic,126000,Riyadh,176000,9
Lexus,UX,Gulf Arabic,Blue,Full,2.0,Gas,Automatic,7000,Dammam,165000,6
Toyota,Camry,Saudi,White,Semi Full,2.5,Gas,Automatic,238000,Jeddah,48500,9
Mercedes,C,Other,White,Full,2.0,Gas,Automatic,84000,Dammam,129000,9
Toyota,Yaris,Saudi,White,Standard,1.4,Gas,Automatic,193000,Dammam,25000,10
Kia,Picanto,Saudi,Another Color,Standard,1.0,Gas,Automatic,136000,Al-Medina,18500,10
GMC,Yukon,Saudi,White,Full,5.3,Gas,Automatic,200000,Jeddah,38000,17
Hyundai,Sonata,Saudi,Grey,Standard,2.4,Gas,Automatic,55000,Riyadh,60000,7
Kia,Quoris,Saudi,White,Full,3.5,Gas,Automatic,81000,Jeddah,78000,11
Honda,Accord,Saudi,White,Semi Full,1.6,Gas,Automatic,32000,Jeddah,97000,7
Toyota,Camry,Gulf Arabic,White,Standard,2.5,Gas,Automatic,97000,Dammam,68000,8
Chevrolet,Tahoe,Saudi,Black,Standard,5.3,Gas,Automatic,117000,Riyadh,145000,6
Hyundai,Kona,Saudi,Black,Standard,2.0,Gas,Automatic,76000,Jeddah,56000,6
Hyundai,Creta,Saudi,Silver,Semi Full,1.6,Gas,Automatic,125000,Al-Ahsa,57000,8
Chevrolet,Impala,Saudi,Silver,Standard,3.6,Gas,Automatic,75000,Riyadh,64000,7
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,88795,Riyadh,26500,6
Kia,Rio,Saudi,Grey,Standard,1.4,Gas,Automatic,272232,Riyadh,26500,9
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,145161,Riyadh,27000,8
Nissan,Sunny,Saudi,Grey,Standard,1.5,Gas,Automatic,117081,Riyadh,27000,7
Honda,Odyssey,Saudi,Grey,Standard,3.5,Gas,Automatic,192000,Dammam,58000,10
Geely,EC8,Saudi,Silver,Full,2.3,Gas,Automatic,80000,Aseer,22000,9
Mazda,6,Other,Black,Full,2.5,Gas,Manual,201000,Riyadh,42000,11
Toyota,Prado,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,39000,Riyadh,131500,7
Toyota,Prado,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,86000,Riyadh,127000,7
Hyundai,H1,Saudi,Black,Semi Full,2.7,Gas,Automatic,131000,Al-Medina,42000,10
Toyota,Camry,Saudi,Black,Full,2.5,Gas,Automatic,13000,Riyadh,94000,6
Toyota,Camry,Saudi,Brown,Standard,2.5,Gas,Automatic,37000,Riyadh,80000,5
Toyota,Hilux,Saudi,White,Standard,2.5,Gas,Manual,125000,Riyadh,40000,11
Ford,Taurus,Saudi,Black,Standard,2.0,Gas,Automatic,49000,Riyadh,82000,6
Toyota,Camry,Saudi,Black,Standard,2.5,Gas,Automatic,48000,Riyadh,80000,6
Hyundai,Sonata,Saudi,White,Semi Full,2.0,Gas,Automatic,116000,Riyadh,55000,7
Ford,Expedition,Saudi,White,Standard,5.4,Gas,Automatic,235000,Riyadh,50000,12
Nissan,Patrol,Saudi,Another Color,Full,5.6,Gas,Automatic,228000,Riyadh,130000,10
Toyota,Sequoia,Saudi,Grey,Full,5.7,Gas,Automatic,343000,Riyadh,60000,16
Chevrolet,Tahoe,Saudi,Silver,Standard,5.3,Gas,Automatic,233000,Riyadh,98000,10
Toyota,Land Cruiser Pickup,Saudi,Another Color,Standard,4.0,Gas,Manual,98000,Riyadh,105000,7
Genesis,G80,Saudi,Another Color,Semi Full,3.3,Gas,Automatic,50000,Riyadh,125000,6
Renault,Duster,Saudi,White,Standard,2.0,Gas,Automatic,49597,Riyadh,27500,8
Changan,Alsvin,Saudi,Silver,Standard,1.5,Gas,Automatic,37644,Riyadh,27500,5
Changan,Alsvin,Saudi,White,Standard,1.5,Gas,Automatic,55531,Riyadh,27500,5
Changan,Alsvin,Saudi,Silver,Standard,1.5,Gas,Automatic,49214,Riyadh,27500,5
Mercedes,GLC,Gulf Arabic,White,Full,2.0,Gas,Manual,143000,Riyadh,155000,8
Chevrolet,Impala,Gulf Arabic,Black,Standard,3.5,Gas,Automatic,89000,Riyadh,62000,8
Kia,Carnival,Other,Golden,Semi Full,2.0,Gas,Automatic,118000,Riyadh,59000,9
Honda,Accord,Gulf Arabic,Silver,Semi Full,1.5,Gas,Automatic,38000,Riyadh,87000,7
Toyota,Camry,Gulf Arabic,White,Full,2.4,Gas,Automatic,62000,Riyadh,75000,9
Mercedes,C,Gulf Arabic,White,Semi Full,2.0,Gas,Automatic,173000,Riyadh,108000,10
Lexus,ES,Gulf Arabic,White,Standard,3.5,Gas,Automatic,45000,Riyadh,112000,9
HAVAL,H6,Saudi,Black,Full,2.0,Gas,Automatic,2000,Jeddah,69000,5
Chrysler,300,Gulf Arabic,White,Full,3.5,Gas,Automatic,16000,Riyadh,90000,9
Ford,Flex,Gulf Arabic,White,Standard,2.5,Gas,Automatic,110000,Riyadh,67000,8
Nissan,Patrol,Gulf Arabic,Black,Full,4.0,Gas,Automatic,92000,Riyadh,175000,9
Mercedes,E,Gulf Arabic,White,Full,3.0,Gas,Automatic,114000,Riyadh,106000,9
Toyota,FJ,Saudi,White,Full,4.0,Gas,Automatic,259880,Riyadh,89000,10
Kia,Optima,Gulf Arabic,Brown,Standard,2.4,Gas,Automatic,75000,Riyadh,48000,8
GMC,Yukon,Gulf Arabic,Bronze,Semi Full,5.3,Gas,Automatic,96000,Riyadh,145000,8
BMW,The 7,Gulf Arabic,Navy,Full,2.0,Gas,Automatic,87000,Riyadh,175000,8
Chevrolet,Impala,Gulf Arabic,White,Standard,3.5,Gas,Automatic,114000,Riyadh,65000,9
Ford,Explorer,Gulf Arabic,Black,Standard,3.5,Gas,Automatic,111000,Riyadh,75000,9
Toyota,Camry,Gulf Arabic,White,Standard,2.5,Gas,Automatic,81000,Riyadh,62000,9
Toyota,Camry,Gulf Arabic,White,Semi Full,2.4,Gas,Automatic,78000,Riyadh,57000,9
Chevrolet,Tahoe,Gulf Arabic,Golden,Semi Full,5.3,Gas,Automatic,97000,Riyadh,135000,9
Chevrolet,Spark,Saudi,Silver,Standard,1.4,Gas,Automatic,63744,Riyadh,25000,6
Nissan,Z370,Saudi,Red,Semi Full,3.7,Gas,Automatic,111075,Jazan,80000,10
Ford,Victoria,Saudi,Oily,Standard,4.6,Gas,Automatic,320000,Taef,19500,19
Kia,Rio,Saudi,White,Standard,1.4,Gas,Automatic,180818,Riyadh,27500,8
Kia,Rio,Saudi,White,Standard,1.4,Gas,Automatic,144024,Riyadh,27500,8
Changan,Alsvin,Saudi,Red,Standard,1.5,Gas,Automatic,47528,Riyadh,28500,5
Changan,Alsvin,Saudi,White,Standard,1.5,Gas,Automatic,36833,Riyadh,28500,5
Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,71000,Riyadh,38000,7
Hyundai,Sonata,Other,White,Full,2.0,Gas,Automatic,65239,Qassim,67000,7
Toyota,Yaris,Saudi,Silver,Standard,1.5,Gas,Automatic,131000,Jeddah,35000,7
Ford,Expedition,Saudi,Blue,Semi Full,5.4,Gas,Automatic,346000,Dammam,27000,17
Genesis,G80,Other,White,Full,3.8,Gas,Automatic,124000,Riyadh,86000,9
Toyota,Corolla,Saudi,Grey,Standard,1.6,Gas,Automatic,121000,Jeddah,48000,7
Kia,Carnival,Saudi,Another Color,Standard,3.5,Gas,Automatic,126000,Dammam,20000,16
Lexus,ES,Other,Black,Full,3.5,Gas,Automatic,40000,Dammam,185000,6
Mitsubishi,Attrage,Saudi,White,Standard,1.2,Gas,Automatic,68000,Al-Medina,26500,7
Ford,Focus,Saudi,Black,Standard,1.5,Gas,Automatic,75000,Riyadh,21000,11
Chevrolet,Caprice,Saudi,Silver,Standard,6.0,Gas,Automatic,106000,Dammam,79000,12
Chevrolet,Impala,Saudi,White,Standard,3.5,Gas,Automatic,91000,Dammam,55000,9
Toyota,Fortuner,Saudi,White,Standard,2.7,Gas,Automatic,127000,Jeddah,57000,11
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,79968,Riyadh,29000,7
Toyota,Yaris,Saudi,Black,Full,1.5,Gas,Automatic,203429,Riyadh,29000,10
Hyundai,Accent,Saudi,Grey,Standard,1.4,Gas,Automatic,93788,Riyadh,29000,7
Renault,Duster,Saudi,Black,Standard,2.0,Gas,Automatic,164169,Riyadh,29500,7
GMC,Sierra,Saudi,Navy,Standard,5.3,Gas,Automatic,17000,Dammam,156000,5
Chevrolet,Tahoe,Saudi,Black,Standard,5.3,Gas,Automatic,34000,Riyadh,158000,6
Kia,Rio,Saudi,White,Standard,1.4,Gas,Automatic,170000,Jeddah,26000,8
Ford,Explorer,Saudi,Black,Semi Full,3.5,Gas,Automatic,160000,Al-Ahsa,65000,10
